,_id,campaign,strategy,param,Total Action,Total PNL,Takeprofit,Stoploss
0,635477d8283d693b34240e7b,-3_5,"{'defined': {'F1_symbol': 'F1', 'F2_symbol': 'F2', 'best_bid_F1': {'type': 'pair', 'symbol': 'F1_symbol', 'field': 'bestBid1'}, 'best_ask_F1': {'type': 'pair', 'symbol': 'F1_symbol', 'field': 'bestOffer1'}, 'best_bid_F2': {'type': 'pair', 'symbol': 'F2_symbol', 'field': 'bestBid1'}, 'best_ask_F2': {'type': 'pair', 'symbol': 'F2_symbol', 'field': 'bestOffer1'}, 'Basis_Enter': -3, 'Basis_Exit': 5, 'quantity': 1, 'exchange': 'HNX'}, 'VN30F_PAIR': {'enter_condition': [[['session', '=', 'LO'], [{'type': 'calculate', 'number_1': 'best_bid_F2', 'logic': '-', 'number_2': 'best_ask_F1'}, '>=', 'Basis_Enter'], ['best_ask_F1', '>', 0], ['best_bid_F2', '>', 0], ['is_maturity_date', '=', False]]], 'enter_action': [{'id': 'enter_1', 'type': 'make_order', 'exchange': 'exchange', 'symbol': 'F2_symbol', 'quantity': 'quantity', 'order_side': 'SELL', 'order_type': 'LO', 'price': 'best_bid_F2'}], 'enter_cancel': [[[{'type': 'calculate', 'number_1': 'best_bid_F2', 'logic': '-', 'number_2': 'best_ask_F1'}, '<', 'Basis_Enter']]], 'exit_condition': [[['session', '=', 'LO'], [{'type': 'calculate', 'number_1': 'best_bid_F1', 'logic': '-', 'number_2': 'best_ask_F2'}, '>=', 'Basis_Exit'], ['best_ask_F1', '>', 0], ['best_bid_F2', '>', 0]]], 'exit_action': [{'id': 'exit_1', 'type': 'close_order', 'symbol': 'F2_symbol', 'order_type': 'LO', 'price': 'best_ask_F2'}], 'exit_cancel': [[[{'type': 'calculate', 'number_1': 'best_bid_F1', 'logic': '-', 'number_2': 'best_ask_F2'}, '<', 'Basis_Exit'], [[['is_maturity_date', '=', False]], [['time_in_date', '<', '14:00:00']]]]], 'pair_trading': {'symbol': 'F1_symbol', 'pair_symbol': 'F2_symbol'}, 'close_condition': [[['is_maturity_date', '=', True], ['time_in_date', '>', '14:00:00'], ['best_ask_F1', '>', 0], ['best_bid_F2', '>', 0]]], 'close_action': [{'id': 'close_1', 'type': 'close_order', 'symbol': 'F2_symbol', 'order_type': 'MAK'}]}}","{'basic_enter': -3, 'basic_exit': 5}",55,11260000.00000006,44,5
1,635477d98f97d61d33240e7b,-3_5.5,"{'defined': {'F1_symbol': 'F1', 'F2_symbol': 'F2', 'best_bid_F1': {'type': 'pair', 'symbol': 'F1_symbol', 'field': 'bestBid1'}, 'best_ask_F1': {'type': 'pair', 'symbol': 'F1_symbol', 'field': 'bestOffer1'}, 'best_bid_F2': {'type': 'pair', 'symbol': 'F2_symbol', 'field': 'bestBid1'}, 'best_ask_F2': {'type': 'pair', 'symbol': 'F2_symbol', 'field': 'bestOffer1'}, 'Basis_Enter': -3, 'Basis_Exit': 5.5, 'quantity': 1, 'exchange': 'HNX'}, 'VN30F_PAIR': {'enter_condition': [[['session', '=', 'LO'], [{'type': 'calculate', 'number_1': 'best_bid_F2', 'logic': '-', 'number_2': 'best_ask_F1'}, '>=', 'Basis_Enter'], ['best_ask_F1', '>', 0], ['best_bid_F2', '>', 0], ['is_maturity_date', '=', False]]], 'enter_action': [{'id': 'enter_1', 'type': 'make_order', 'exchange': 'exchange', 'symbol': 'F2_symbol', 'quantity': 'quantity', 'order_side': 'SELL', 'order_type': 'LO', 'price': 'best_bid_F2'}], 'enter_cancel': [[[{'type': 'calculate', 'number_1': 'best_bid_F2', 'logic': '-', 'number_2': 'best_ask_F1'}, '<', 'Basis_Enter']]], 'exit_condition': [[['session', '=', 'LO'], [{'type': 'calculate', 'number_1': 'best_bid_F1', 'logic': '-', 'number_2': 'best_ask_F2'}, '>=', 'Basis_Exit'], ['best_ask_F1', '>', 0], ['best_bid_F2', '>', 0]]], 'exit_action': [{'id': 'exit_1', 'type': 'close_order', 'symbol': 'F2_symbol', 'order_type': 'LO', 'price': 'best_ask_F2'}], 'exit_cancel': [[[{'type': 'calculate', 'number_1': 'best_bid_F1', 'logic': '-', 'number_2': 'best_ask_F2'}, '<', 'Basis_Exit'], [[['is_maturity_date', '=', False]], [['time_in_date', '<', '14:00:00']]]]], 'pair_trading': {'symbol': 'F1_symbol', 'pair_symbol': 'F2_symbol'}, 'close_condition': [[['is_maturity_date', '=', True], ['time_in_date', '>', '14:00:00'], ['best_ask_F1', '>', 0], ['best_bid_F2', '>', 0]]], 'close_action': [{'id': 'close_1', 'type': 'close_order', 'symbol': 'F2_symbol', 'order_type': 'MAK'}]}}","{'basic_enter': -3, 'basic_exit': 5.5}",40,9000000.0,30,5
2,635477dba00fbf8237240e7b,-3_6.5,"{'defined': {'F1_symbol': 'F1', 'F2_symbol': 'F2', 'best_bid_F1': {'type': 'pair', 'symbol': 'F1_symbol', 'field': 'bestBid1'}, 'best_ask_F1': {'type': 'pair', 'symbol': 'F1_symbol', 'field': 'bestOffer1'}, 'best_bid_F2': {'type': 'pair', 'symbol': 'F2_symbol', 'field': 'bestBid1'}, 'best_ask_F2': {'type': 'pair', 'symbol': 'F2_symbol', 'field': 'bestOffer1'}, 'Basis_Enter': -3, 'Basis_Exit': 6.5, 'quantity': 1, 'exchange': 'HNX'}, 'VN30F_PAIR': {'enter_condition': [[['session', '=', 'LO'], [{'type': 'calculate', 'number_1': 'best_bid_F2', 'logic': '-', 'number_2': 'best_ask_F1'}, '>=', 'Basis_Enter'], ['best_ask_F1', '>', 0], ['best_bid_F2', '>', 0], ['is_maturity_date', '=', False]]], 'enter_action': [{'id': 'enter_1', 'type': 'make_order', 'exchange': 'exchange', 'symbol': 'F2_symbol', 'quantity': 'quantity', 'order_side': 'SELL', 'order_type': 'LO', 'price': 'best_bid_F2'}], 'enter_cancel': [[[{'type': 'calculate', 'number_1': 'best_bid_F2', 'logic': '-', 'number_2': 'best_ask_F1'}, '<', 'Basis_Enter']]], 'exit_condition': [[['session', '=', 'LO'], [{'type': 'calculate', 'number_1': 'best_bid_F1', 'logic': '-', 'number_2': 'best_ask_F2'}, '>=', 'Basis_Exit'], ['best_ask_F1', '>', 0], ['best_bid_F2', '>', 0]]], 'exit_action': [{'id': 'exit_1', 'type': 'close_order', 'symbol': 'F2_symbol', 'order_type': 'LO', 'price': 'best_ask_F2'}], 'exit_cancel': [[[{'type': 'calculate', 'number_1': 'best_bid_F1', 'logic': '-', 'number_2': 'best_ask_F2'}, '<', 'Basis_Exit'], [[['is_maturity_date', '=', False]], [['time_in_date', '<', '14:00:00']]]]], 'pair_trading': {'symbol': 'F1_symbol', 'pair_symbol': 'F2_symbol'}, 'close_condition': [[['is_maturity_date', '=', True], ['time_in_date', '>', '14:00:00'], ['best_ask_F1', '>', 0], ['best_bid_F2', '>', 0]]], 'close_action': [{'id': 'close_1', 'type': 'close_order', 'symbol': 'F2_symbol', 'order_type': 'MAK'}]}}","{'basic_enter': -3, 'basic_exit': 6.5}",27,6289999.99999997,19,4
3,635477dd721e0d733f240e7b,-3_6.0,"{'defined': {'F1_symbol': 'F1', 'F2_symbol': 'F2', 'best_bid_F1': {'type': 'pair', 'symbol': 'F1_symbol', 'field': 'bestBid1'}, 'best_ask_F1': {'type': 'pair', 'symbol': 'F1_symbol', 'field': 'bestOffer1'}, 'best_bid_F2': {'type': 'pair', 'symbol': 'F2_symbol', 'field': 'bestBid1'}, 'best_ask_F2': {'type': 'pair', 'symbol': 'F2_symbol', 'field': 'bestOffer1'}, 'Basis_Enter': -3, 'Basis_Exit': 6.0, 'quantity': 1, 'exchange': 'HNX'}, 'VN30F_PAIR': {'enter_condition': [[['session', '=', 'LO'], [{'type': 'calculate', 'number_1': 'best_bid_F2', 'logic': '-', 'number_2': 'best_ask_F1'}, '>=', 'Basis_Enter'], ['best_ask_F1', '>', 0], ['best_bid_F2', '>', 0], ['is_maturity_date', '=', False]]], 'enter_action': [{'id': 'enter_1', 'type': 'make_order', 'exchange': 'exchange', 'symbol': 'F2_symbol', 'quantity': 'quantity', 'order_side': 'SELL', 'order_type': 'LO', 'price': 'best_bid_F2'}], 'enter_cancel': [[[{'type': 'calculate', 'number_1': 'best_bid_F2', 'logic': '-', 'number_2': 'best_ask_F1'}, '<', 'Basis_Enter']]], 'exit_condition': [[['session', '=', 'LO'], [{'type': 'calculate', 'number_1': 'best_bid_F1', 'logic': '-', 'number_2': 'best_ask_F2'}, '>=', 'Basis_Exit'], ['best_ask_F1', '>', 0], ['best_bid_F2', '>', 0]]], 'exit_action': [{'id': 'exit_1', 'type': 'close_order', 'symbol': 'F2_symbol', 'order_type': 'LO', 'price': 'best_ask_F2'}], 'exit_cancel': [[[{'type': 'calculate', 'number_1': 'best_bid_F1', 'logic': '-', 'number_2': 'best_ask_F2'}, '<', 'Basis_Exit'], [[['is_maturity_date', '=', False]], [['time_in_date', '<', '14:00:00']]]]], 'pair_trading': {'symbol': 'F1_symbol', 'pair_symbol': 'F2_symbol'}, 'close_condition': [[['is_maturity_date', '=', True], ['time_in_date', '>', '14:00:00'], ['best_ask_F1', '>', 0], ['best_bid_F2', '>', 0]]], 'close_action': [{'id': 'close_1', 'type': 'close_order', 'symbol': 'F2_symbol', 'order_type': 'MAK'}]}}","{'basic_enter': -3, 'basic_exit': 6.0}",31,7160000.0,22,5
4,635477de10d9ba0c8d240e7b,-3_7.0,"{'defined': {'F1_symbol': 'F1', 'F2_symbol': 'F2', 'best_bid_F1': {'type': 'pair', 'symbol': 'F1_symbol', 'field': 'bestBid1'}, 'best_ask_F1': {'type': 'pair', 'symbol': 'F1_symbol', 'field': 'bestOffer1'}, 'best_bid_F2': {'type': 'pair', 'symbol': 'F2_symbol', 'field': 'bestBid1'}, 'best_ask_F2': {'type': 'pair', 'symbol': 'F2_symbol', 'field': 'bestOffer1'}, 'Basis_Enter': -3, 'Basis_Exit': 7.0, 'quantity': 1, 'exchange': 'HNX'}, 'VN30F_PAIR': {'enter_condition': [[['session', '=', 'LO'], [{'type': 'calculate', 'number_1': 'best_bid_F2', 'logic': '-', 'number_2': 'best_ask_F1'}, '>=', 'Basis_Enter'], ['best_ask_F1', '>', 0], ['best_bid_F2', '>', 0], ['is_maturity_date', '=', False]]], 'enter_action': [{'id': 'enter_1', 'type': 'make_order', 'exchange': 'exchange', 'symbol': 'F2_symbol', 'quantity': 'quantity', 'order_side': 'SELL', 'order_type': 'LO', 'price': 'best_bid_F2'}], 'enter_cancel': [[[{'type': 'calculate', 'number_1': 'best_bid_F2', 'logic': '-', 'number_2': 'best_ask_F1'}, '<', 'Basis_Enter']]], 'exit_condition': [[['session', '=', 'LO'], [{'type': 'calculate', 'number_1': 'best_bid_F1', 'logic': '-', 'number_2': 'best_ask_F2'}, '>=', 'Basis_Exit'], ['best_ask_F1', '>', 0], ['best_bid_F2', '>', 0]]], 'exit_action': [{'id': 'exit_1', 'type': 'close_order', 'symbol': 'F2_symbol', 'order_type': 'LO', 'price': 'best_ask_F2'}], 'exit_cancel': [[[{'type': 'calculate', 'number_1': 'best_bid_F1', 'logic': '-', 'number_2': 'best_ask_F2'}, '<', 'Basis_Exit'], [[['is_maturity_date', '=', False]], [['time_in_date', '<', '14:00:00']]]]], 'pair_trading': {'symbol': 'F1_symbol', 'pair_symbol': 'F2_symbol'}, 'close_condition': [[['is_maturity_date', '=', True], ['time_in_date', '>', '14:00:00'], ['best_ask_F1', '>', 0], ['best_bid_F2', '>', 0]]], 'close_action': [{'id': 'close_1', 'type': 'close_order', 'symbol': 'F2_symbol', 'order_type': 'MAK'}]}}","{'basic_enter': -3, 'basic_exit': 7.0}",26,6300000.00000006,18,4
5,635478b2205ac417ba240e7b,-3_9.5,"{'defined': {'F1_symbol': 'F1', 'F2_symbol': 'F2', 'best_bid_F1': {'type': 'pair', 'symbol': 'F1_symbol', 'field': 'bestBid1'}, 'best_ask_F1': {'type': 'pair', 'symbol': 'F1_symbol', 'field': 'bestOffer1'}, 'best_bid_F2': {'type': 'pair', 'symbol': 'F2_symbol', 'field': 'bestBid1'}, 'best_ask_F2': {'type': 'pair', 'symbol': 'F2_symbol', 'field': 'bestOffer1'}, 'Basis_Enter': -3, 'Basis_Exit': 9.5, 'quantity': 1, 'exchange': 'HNX'}, 'VN30F_PAIR': {'enter_condition': [[['session', '=', 'LO'], [{'type': 'calculate', 'number_1': 'best_bid_F2', 'logic': '-', 'number_2': 'best_ask_F1'}, '>=', 'Basis_Enter'], ['best_ask_F1', '>', 0], ['best_bid_F2', '>', 0], ['is_maturity_date', '=', False]]], 'enter_action': [{'id': 'enter_1', 'type': 'make_order', 'exchange': 'exchange', 'symbol': 'F2_symbol', 'quantity': 'quantity', 'order_side': 'SELL', 'order_type': 'LO', 'price': 'best_bid_F2'}], 'enter_cancel': [[[{'type': 'calculate', 'number_1': 'best_bid_F2', 'logic': '-', 'number_2': 'best_ask_F1'}, '<', 'Basis_Enter']]], 'exit_condition': [[['session', '=', 'LO'], [{'type': 'calculate', 'number_1': 'best_bid_F1', 'logic': '-', 'number_2': 'best_ask_F2'}, '>=', 'Basis_Exit'], ['best_ask_F1', '>', 0], ['best_bid_F2', '>', 0]]], 'exit_action': [{'id': 'exit_1', 'type': 'close_order', 'symbol': 'F2_symbol', 'order_type': 'LO', 'price': 'best_ask_F2'}], 'exit_cancel': [[[{'type': 'calculate', 'number_1': 'best_bid_F1', 'logic': '-', 'number_2': 'best_ask_F2'}, '<', 'Basis_Exit'], [[['is_maturity_date', '=', False]], [['time_in_date', '<', '14:00:00']]]]], 'pair_trading': {'symbol': 'F1_symbol', 'pair_symbol': 'F2_symbol'}, 'close_condition': [[['is_maturity_date', '=', True], ['time_in_date', '>', '14:00:00'], ['best_ask_F1', '>', 0], ['best_bid_F2', '>', 0]]], 'close_action': [{'id': 'close_1', 'type': 'close_order', 'symbol': 'F2_symbol', 'order_type': 'MAK'}]}}","{'basic_enter': -3, 'basic_exit': 9.5}",12,3270000.0,7,3
6,635478ba24c8d1bd04240e7b,-3_8.5,"{'defined': {'F1_symbol': 'F1', 'F2_symbol': 'F2', 'best_bid_F1': {'type': 'pair', 'symbol': 'F1_symbol', 'field': 'bestBid1'}, 'best_ask_F1': {'type': 'pair', 'symbol': 'F1_symbol', 'field': 'bestOffer1'}, 'best_bid_F2': {'type': 'pair', 'symbol': 'F2_symbol', 'field': 'bestBid1'}, 'best_ask_F2': {'type': 'pair', 'symbol': 'F2_symbol', 'field': 'bestOffer1'}, 'Basis_Enter': -3, 'Basis_Exit': 8.5, 'quantity': 1, 'exchange': 'HNX'}, 'VN30F_PAIR': {'enter_condition': [[['session', '=', 'LO'], [{'type': 'calculate', 'number_1': 'best_bid_F2', 'logic': '-', 'number_2': 'best_ask_F1'}, '>=', 'Basis_Enter'], ['best_ask_F1', '>', 0], ['best_bid_F2', '>', 0], ['is_maturity_date', '=', False]]], 'enter_action': [{'id': 'enter_1', 'type': 'make_order', 'exchange': 'exchange', 'symbol': 'F2_symbol', 'quantity': 'quantity', 'order_side': 'SELL', 'order_type': 'LO', 'price': 'best_bid_F2'}], 'enter_cancel': [[[{'type': 'calculate', 'number_1': 'best_bid_F2', 'logic': '-', 'number_2': 'best_ask_F1'}, '<', 'Basis_Enter']]], 'exit_condition': [[['session', '=', 'LO'], [{'type': 'calculate', 'number_1': 'best_bid_F1', 'logic': '-', 'number_2': 'best_ask_F2'}, '>=', 'Basis_Exit'], ['best_ask_F1', '>', 0], ['best_bid_F2', '>', 0]]], 'exit_action': [{'id': 'exit_1', 'type': 'close_order', 'symbol': 'F2_symbol', 'order_type': 'LO', 'price': 'best_ask_F2'}], 'exit_cancel': [[[{'type': 'calculate', 'number_1': 'best_bid_F1', 'logic': '-', 'number_2': 'best_ask_F2'}, '<', 'Basis_Exit'], [[['is_maturity_date', '=', False]], [['time_in_date', '<', '14:00:00']]]]], 'pair_trading': {'symbol': 'F1_symbol', 'pair_symbol': 'F2_symbol'}, 'close_condition': [[['is_maturity_date', '=', True], ['time_in_date', '>', '14:00:00'], ['best_ask_F1', '>', 0], ['best_bid_F2', '>', 0]]], 'close_action': [{'id': 'close_1', 'type': 'close_order', 'symbol': 'F2_symbol', 'order_type': 'MAK'}]}}","{'basic_enter': -3, 'basic_exit': 8.5}",21,5890000.0,14,4
7,635478bb0f70e1ca40240e7b,-3_7.5,"{'defined': {'F1_symbol': 'F1', 'F2_symbol': 'F2', 'best_bid_F1': {'type': 'pair', 'symbol': 'F1_symbol', 'field': 'bestBid1'}, 'best_ask_F1': {'type': 'pair', 'symbol': 'F1_symbol', 'field': 'bestOffer1'}, 'best_bid_F2': {'type': 'pair', 'symbol': 'F2_symbol', 'field': 'bestBid1'}, 'best_ask_F2': {'type': 'pair', 'symbol': 'F2_symbol', 'field': 'bestOffer1'}, 'Basis_Enter': -3, 'Basis_Exit': 7.5, 'quantity': 1, 'exchange': 'HNX'}, 'VN30F_PAIR': {'enter_condition': [[['session', '=', 'LO'], [{'type': 'calculate', 'number_1': 'best_bid_F2', 'logic': '-', 'number_2': 'best_ask_F1'}, '>=', 'Basis_Enter'], ['best_ask_F1', '>', 0], ['best_bid_F2', '>', 0], ['is_maturity_date', '=', False]]], 'enter_action': [{'id': 'enter_1', 'type': 'make_order', 'exchange': 'exchange', 'symbol': 'F2_symbol', 'quantity': 'quantity', 'order_side': 'SELL', 'order_type': 'LO', 'price': 'best_bid_F2'}], 'enter_cancel': [[[{'type': 'calculate', 'number_1': 'best_bid_F2', 'logic': '-', 'number_2': 'best_ask_F1'}, '<', 'Basis_Enter']]], 'exit_condition': [[['session', '=', 'LO'], [{'type': 'calculate', 'number_1': 'best_bid_F1', 'logic': '-', 'number_2': 'best_ask_F2'}, '>=', 'Basis_Exit'], ['best_ask_F1', '>', 0], ['best_bid_F2', '>', 0]]], 'exit_action': [{'id': 'exit_1', 'type': 'close_order', 'symbol': 'F2_symbol', 'order_type': 'LO', 'price': 'best_ask_F2'}], 'exit_cancel': [[[{'type': 'calculate', 'number_1': 'best_bid_F1', 'logic': '-', 'number_2': 'best_ask_F2'}, '<', 'Basis_Exit'], [[['is_maturity_date', '=', False]], [['time_in_date', '<', '14:00:00']]]]], 'pair_trading': {'symbol': 'F1_symbol', 'pair_symbol': 'F2_symbol'}, 'close_condition': [[['is_maturity_date', '=', True], ['time_in_date', '>', '14:00:00'], ['best_ask_F1', '>', 0], ['best_bid_F2', '>', 0]]], 'close_action': [{'id': 'close_1', 'type': 'close_order', 'symbol': 'F2_symbol', 'order_type': 'MAK'}]}}","{'basic_enter': -3, 'basic_exit': 7.5}",24,5360000.00000003,16,4
8,635478bc966127a49e240e7b,-3_9.0,"{'defined': {'F1_symbol': 'F1', 'F2_symbol': 'F2', 'best_bid_F1': {'type': 'pair', 'symbol': 'F1_symbol', 'field': 'bestBid1'}, 'best_ask_F1': {'type': 'pair', 'symbol': 'F1_symbol', 'field': 'bestOffer1'}, 'best_bid_F2': {'type': 'pair', 'symbol': 'F2_symbol', 'field': 'bestBid1'}, 'best_ask_F2': {'type': 'pair', 'symbol': 'F2_symbol', 'field': 'bestOffer1'}, 'Basis_Enter': -3, 'Basis_Exit': 9.0, 'quantity': 1, 'exchange': 'HNX'}, 'VN30F_PAIR': {'enter_condition': [[['session', '=', 'LO'], [{'type': 'calculate', 'number_1': 'best_bid_F2', 'logic': '-', 'number_2': 'best_ask_F1'}, '>=', 'Basis_Enter'], ['best_ask_F1', '>', 0], ['best_bid_F2', '>', 0], ['is_maturity_date', '=', False]]], 'enter_action': [{'id': 'enter_1', 'type': 'make_order', 'exchange': 'exchange', 'symbol': 'F2_symbol', 'quantity': 'quantity', 'order_side': 'SELL', 'order_type': 'LO', 'price': 'best_bid_F2'}], 'enter_cancel': [[[{'type': 'calculate', 'number_1': 'best_bid_F2', 'logic': '-', 'number_2': 'best_ask_F1'}, '<', 'Basis_Enter']]], 'exit_condition': [[['session', '=', 'LO'], [{'type': 'calculate', 'number_1': 'best_bid_F1', 'logic': '-', 'number_2': 'best_ask_F2'}, '>=', 'Basis_Exit'], ['best_ask_F1', '>', 0], ['best_bid_F2', '>', 0]]], 'exit_action': [{'id': 'exit_1', 'type': 'close_order', 'symbol': 'F2_symbol', 'order_type': 'LO', 'price': 'best_ask_F2'}], 'exit_cancel': [[[{'type': 'calculate', 'number_1': 'best_bid_F1', 'logic': '-', 'number_2': 'best_ask_F2'}, '<', 'Basis_Exit'], [[['is_maturity_date', '=', False]], [['time_in_date', '<', '14:00:00']]]]], 'pair_trading': {'symbol': 'F1_symbol', 'pair_symbol': 'F2_symbol'}, 'close_condition': [[['is_maturity_date', '=', True], ['time_in_date', '>', '14:00:00'], ['best_ask_F1', '>', 0], ['best_bid_F2', '>', 0]]], 'close_action': [{'id': 'close_1', 'type': 'close_order', 'symbol': 'F2_symbol', 'order_type': 'MAK'}]}}","{'basic_enter': -3, 'basic_exit': 9.0}",21,6350000.00000003,14,4
9,635478bd93977ab9a9240e7b,-3_8.0,"{'defined': {'F1_symbol': 'F1', 'F2_symbol': 'F2', 'best_bid_F1': {'type': 'pair', 'symbol': 'F1_symbol', 'field': 'bestBid1'}, 'best_ask_F1': {'type': 'pair', 'symbol': 'F1_symbol', 'field': 'bestOffer1'}, 'best_bid_F2': {'type': 'pair', 'symbol': 'F2_symbol', 'field': 'bestBid1'}, 'best_ask_F2': {'type': 'pair', 'symbol': 'F2_symbol', 'field': 'bestOffer1'}, 'Basis_Enter': -3, 'Basis_Exit': 8.0, 'quantity': 1, 'exchange': 'HNX'}, 'VN30F_PAIR': {'enter_condition': [[['session', '=', 'LO'], [{'type': 'calculate', 'number_1': 'best_bid_F2', 'logic': '-', 'number_2': 'best_ask_F1'}, '>=', 'Basis_Enter'], ['best_ask_F1', '>', 0], ['best_bid_F2', '>', 0], ['is_maturity_date', '=', False]]], 'enter_action': [{'id': 'enter_1', 'type': 'make_order', 'exchange': 'exchange', 'symbol': 'F2_symbol', 'quantity': 'quantity', 'order_side': 'SELL', 'order_type': 'LO', 'price': 'best_bid_F2'}], 'enter_cancel': [[[{'type': 'calculate', 'number_1': 'best_bid_F2', 'logic': '-', 'number_2': 'best_ask_F1'}, '<', 'Basis_Enter']]], 'exit_condition': [[['session', '=', 'LO'], [{'type': 'calculate', 'number_1': 'best_bid_F1', 'logic': '-', 'number_2': 'best_ask_F2'}, '>=', 'Basis_Exit'], ['best_ask_F1', '>', 0], ['best_bid_F2', '>', 0]]], 'exit_action': [{'id': 'exit_1', 'type': 'close_order', 'symbol': 'F2_symbol', 'order_type': 'LO', 'price': 'best_ask_F2'}], 'exit_cancel': [[[{'type': 'calculate', 'number_1': 'best_bid_F1', 'logic': '-', 'number_2': 'best_ask_F2'}, '<', 'Basis_Exit'], [[['is_maturity_date', '=', False]], [['time_in_date', '<', '14:00:00']]]]], 'pair_trading': {'symbol': 'F1_symbol', 'pair_symbol': 'F2_symbol'}, 'close_condition': [[['is_maturity_date', '=', True], ['time_in_date', '>', '14:00:00'], ['best_ask_F1', '>', 0], ['best_bid_F2', '>', 0]]], 'close_action': [{'id': 'close_1', 'type': 'close_order', 'symbol': 'F2_symbol', 'order_type': 'MAK'}]}}","{'basic_enter': -3, 'basic_exit': 8.0}",21,5300000.00000003,14,4
