ID_Lệnh,Cặp_Coin,Loại_Lệnh,Phase_DCA_Cao_Nhất,Giá_Trung_Bình,Giá_Thoát,Lợi_Nhuận_%,Lãi_Lỗ_USD,Thời_Gian_Giữ_Lệnh_Phút,Lý_Do_Đóng_Lệnh
15226824,BTCUSDT,LONG,0,29743.34,28996.62,-2.59,-2071.88,518.0,BTCUSDT Frame 1m low(0)[28964.68](28964.68) < BTCUSDT Frame 4h klo17_05(0)[29024.194404600054](29024.194404600054)
15226825,BTCUSDT,SHORT,0,28996.62,28744.82,0.79,606.98,2471.0,BTCUSDT Frame 1m high(0)[28811.98](28811.98) > BTCUSDT Frame 4h kup17_05(0)[28777.970489585146](28777.970489585146)
15226826,BTCUSDT,LONG,0,28744.82,28396.24,-1.29,-836.85,437.0,BTCUSDT Frame 1m low(0)[28336.3](28336.3) < BTCUSDT Frame 4h klo17_05(0)[28344.206265851037](28344.206265851037)
15226827,BTCUSDT,SHORT,0,28396.240000000005,28780.0,-1.43,-979.98,936.0,BTCUSDT Frame 1m high(0)[28780.0](28780.0) > BTCUSDT Frame 4h kup17_05(0)[28766.351413459266](28766.351413459266)
15226828,BTCUSDT,LONG,0,28780.0,28397.84,-1.41,-978.96,53.0,BTCUSDT Frame 1m low(0)[28258.89](28258.89) < BTCUSDT Frame 4h klo17_05(0)[28322.414895707137](28322.414895707137)
15226829,BTCUSDT,SHORT,0,28397.84,28805.69,-1.52,-1023.85,165.0,BTCUSDT Frame 1m high(0)[28825.0](28825.0) > BTCUSDT Frame 4h kup17_05(0)[28760.380534606054](28760.380534606054)
15226830,BTCUSDT,LONG,0,28805.69,28939.02,0.38,245.49,3855.0,BTCUSDT Frame 1m low(0)[28912.0](28912.0) < BTCUSDT Frame 4h klo17_05(0)[28941.88301032705](28941.88301032705)
15226831,BTCUSDT,SHORT,0,28939.02,28017.21,3.11,2359.95,5697.0,BTCUSDT Frame 1m high(0)[28060.0](28060.0) > BTCUSDT Frame 4h kup17_05(0)[28050.429207628807](28050.429207628807)
15226832,BTCUSDT,LONG,0,28017.21,27550.81,-1.74,-1357.9,283.0,BTCUSDT Frame 1m low(0)[27386.7](27386.7) < BTCUSDT Frame 4h klo17_05(0)[27649.214468607526](27649.214468607526)
15226833,BTCUSDT,SHORT,0,27550.81,,-0.04,1618.29,4164.0,
